ds,holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume
04/10/12 15:00,None,298.17,0,0,1,Clear,sky is clear,5713
04/10/12 16:00,None,298.06,0,0,20,Clouds,few clouds,6292
04/10/12 17:00,None,297.67,0,0,20,Clouds,few clouds,6057
04/10/12 18:00,None,296.36,0,0,40,Clouds,scattered clouds,4907
04/10/12 19:00,None,293.85,0,0,40,Clouds,scattered clouds,3503
04/10/12 20:00,None,292.43,0,0,40,Clouds,scattered clouds,3037
04/10/12 21:00,None,291.77,0,0,75,Clouds,broken clouds,2822
04/10/12 22:00,None,291.36,0,0,75,Clouds,broken clouds,1992
04/10/12 23:00,None,291.12,0,0,75,Clouds,broken clouds,1166
05/10/12 00:00,None,290.63,0,0,75,Clouds,broken clouds,627
05/10/12 01:00,None,290.46,0,0,40,Clouds,scattered clouds,388
05/10/12 03:00,None,289.26,0,0,0,Clear,sky is clear,368
05/10/12 05:00,None,283.21,0,0,75,Clouds,broken clouds,2489
05/10/12 06:00,None,282.24,0,0,90,Clouds,overcast clouds,5537
05/10/12 07:00,None,281.69,0,0,90,Clouds,overcast clouds,6628
05/10/12 08:00,None,280.57,0,0,90,Clouds,overcast clouds,5534
05/10/12 09:00,None,280.02,0,0,75,Clouds,broken clouds,5403
05/10/12 10:00,None,280.11,0,0,75,Clouds,broken clouds,4770
05/10/12 11:00,None,280,0,0,90,Clouds,overcast clouds,5217
05/10/12 12:00,None,280.53,0,0,90,Clouds,overcast clouds,5870
05/10/12 13:00,None,281.43,0,0,75,Clouds,broken clouds,5967
05/10/12 14:00,None,281.78,0,0,90,Clouds,overcast clouds,6108
05/10/12 15:00,None,281.91,0,0,90,Clouds,overcast clouds,6128
05/10/12 16:00,None,281.73,0,0,90,Clouds,overcast clouds,6069
05/10/12 17:00,None,281.42,0,0,90,Clouds,overcast clouds,6169
05/10/12 18:00,None,280.87,0,0,90,Clouds,overcast clouds,5384
05/10/12 19:00,None,280.15,0,0,90,Clouds,overcast clouds,4063
05/10/12 20:00,None,279.78,0,0,90,Clouds,overcast clouds,3364
05/10/12 21:00,None,279.65,0,0,75,Clouds,broken clouds,2971
05/10/12 22:00,None,279.22,0,0,40,Clouds,scattered clouds,2450
05/10/12 23:00,None,279.06,0,0,40,Clouds,scattered clouds,1832
06/10/12 00:00,None,278.81,0,0,90,Clouds,overcast clouds,1231
06/10/12 01:00,None,278.55,0,0,90,Clouds,overcast clouds,718
06/10/12 02:00,None,278.59,0,0,90,Clouds,overcast clouds,545
06/10/12 04:00,None,276.99,0,0,75,Clouds,broken clouds,411
06/10/12 05:00,None,276.35,0,0,20,Clouds,few clouds,688
06/10/12 06:00,None,275.4,0,0,1,Clear,sky is clear,1352
06/10/12 07:00,None,275.17,0,0,1,Clear,sky is clear,2072
06/10/12 08:00,None,274.99,0,0,1,Clear,sky is clear,3342
06/10/12 09:00,None,275.09,0,0,40,Clouds,scattered clouds,4258
06/10/12 10:00,None,276.88,0,0,20,Clouds,few clouds,4861
06/10/12 11:00,None,278.04,0,0,20,Clouds,few clouds,5191
06/10/12 12:00,None,279.08,0,0,40,Clouds,scattered clouds,5669
06/10/12 13:00,None,280.12,0,0,75,Clouds,broken clouds,5074
06/10/12 14:00,None,280.25,0,0,75,Clouds,broken clouds,5025
06/10/12 15:00,None,280,0,0,75,Clouds,broken clouds,5153
06/10/12 16:00,None,279.06,0,0,90,Clouds,overcast clouds,5024
06/10/12 17:00,None,278.91,0,0,90,Clouds,overcast clouds,4779
06/10/12 18:00,None,278.39,0,0,90,Clouds,overcast clouds,4362
06/10/12 19:00,None,278.16,0,0,90,Clouds,overcast clouds,3860
06/10/12 20:00,None,278.16,0,0,90,Clouds,overcast clouds,3160
06/10/12 21:00,None,277.93,0,0,90,Clouds,overcast clouds,2992
06/10/12 22:00,None,276.9,0,0,90,Clouds,overcast clouds,3202
06/10/12 23:00,None,276.34,0,0,75,Clouds,broken clouds,1941
07/10/12 00:00,None,276.11,0,0,75,Clouds,broken clouds,1233
07/10/12 03:00,None,275.73,0,0,90,Clouds,overcast clouds,323
07/10/12 04:00,None,275.65,0,0,90,Clouds,overcast clouds,312
07/10/12 05:00,None,275.51,0,0,75,Clouds,broken clouds,627
07/10/12 06:00,None,275.05,0,0,90,Clouds,overcast clouds,1508
07/10/12 07:00,None,274.77,0,0,90,Clouds,overcast clouds,1539
07/10/12 08:00,None,274.77,0,0,75,Clouds,broken clouds,2232
07/10/12 09:00,None,275.55,0,0,75,Clouds,broken clouds,4568
07/10/12 10:00,None,276.24,0,0,75,Clouds,broken clouds,4624
07/10/12 11:00,None,277.01,0,0,90,Clouds,overcast clouds,4529
07/10/12 12:00,None,277.43,0,0,90,Clouds,overcast clouds,5139
07/10/12 13:00,None,278.45,0,0,90,Clouds,overcast clouds,6640
07/10/12 14:00,None,279.27,0,0,90,Clouds,overcast clouds,6589
07/10/12 15:00,None,279.27,0,0,90,Clouds,overcast clouds,4429
07/10/12 16:00,None,279.44,0,0,90,Clouds,overcast clouds,4329
07/10/12 17:00,None,279.32,0,0,90,Clouds,overcast clouds,3833
07/10/12 18:00,None,279.27,0,0,90,Clouds,overcast clouds,4015
07/10/12 19:00,None,278.11,0,0,90,Clouds,overcast clouds,3382
07/10/12 20:00,None,276.79,0,0,75,Clouds,broken clouds,2815
07/10/12 21:00,None,275.73,0,0,90,Clouds,overcast clouds,2110
07/10/12 22:00,None,274.88,0,0,75,Clouds,broken clouds,1555
07/10/12 23:00,None,273.92,0,0,20,Clouds,few clouds,959
08/10/12 00:00,Columbus Day,273.08,0,0,20,Clouds,few clouds,455
08/10/12 01:00,None,272.62,0,0,20,Clouds,few clouds,336
08/10/12 02:00,None,271.78,0,0,1,Clear,sky is clear,265
08/10/12 03:00,None,271.05,0,0,1,Clear,sky is clear,314
08/10/12 04:00,None,270.63,0,0,1,Clear,sky is clear,779
08/10/12 05:00,None,270.33,0,0,1,Clear,sky is clear,2571
08/10/12 06:00,None,269.61,0,0,20,Clouds,few clouds,5563
08/10/12 07:00,None,270.01,0,0,20,Clouds,few clouds,6676
08/10/12 08:00,None,271.23,0,0,20,Clouds,few clouds,5966
08/10/12 09:00,None,273.71,0,0,20,Clouds,few clouds,4832
08/10/12 10:00,None,276.77,0,0,20,Clouds,few clouds,4395
08/10/12 11:00,None,279.47,0,0,20,Clouds,few clouds,4411
08/10/12 12:00,None,279.84,0,0,1,Clear,sky is clear,4648
08/10/12 13:00,None,282.34,0,0,40,Clouds,scattered clouds,4602
08/10/12 14:00,None,282.94,0,0,40,Clouds,scattered clouds,5125
08/10/12 15:00,None,283.48,0,0,1,Clear,sky is clear,5502
08/10/12 16:00,None,284.33,0,0,1,Clear,sky is clear,5979
08/10/12 17:00,None,284.48,0,0,40,Clouds,scattered clouds,5663
08/10/12 18:00,None,284.23,0,0,40,Clouds,scattered clouds,4259
08/10/12 19:00,None,281.99,0,0,20,Clouds,few clouds,3069
08/10/12 20:00,None,279.81,0,0,1,Clear,sky is clear,2378
08/10/12 21:00,None,279.35,0,0,1,Clear,sky is clear,2030
08/10/12 22:00,None,278.9,0,0,1,Clear,sky is clear,1400
08/10/12 23:00,None,278.46,0,0,1,Clear,sky is clear,917
09/10/12 00:00,None,277.78,0,0,1,Clear,sky is clear,515
09/10/12 01:00,None,277.27,0,0,1,Clear,sky is clear,302
09/10/12 02:00,None,277.47,0,0,1,Clear,sky is clear,251
09/10/12 04:00,None,276.97,0,0,20,Clouds,few clouds,798
09/10/12 05:00,None,276.52,0,0,40,Clouds,scattered clouds,2678
09/10/12 06:00,None,276.6,0,0,40,Clouds,scattered clouds,5733
09/10/12 07:00,None,277.31,0,0,75,Clouds,broken clouds,6449
09/10/12 08:00,None,278.38,0,0,90,Clouds,overcast clouds,5765
09/10/12 09:00,None,279.35,0,0,90,Clouds,overcast clouds,5599
09/10/12 10:00,None,281.37,0,0,90,Clouds,overcast clouds,4534
09/10/12 11:00,None,283.11,0,0,90,Clouds,overcast clouds,4691
09/10/12 12:00,None,284.08,0,0,75,Clouds,broken clouds,5067
09/10/12 13:00,None,285.14,0,0,75,Clouds,broken clouds,5030
09/10/12 14:00,None,286.35,0,0,90,Clouds,overcast clouds,5300
09/10/12 15:00,None,287.23,0,0,100,Rain,light rain,5777
09/10/12 16:00,None,288.53,0,0,90,Clouds,overcast clouds,6349
09/10/12 17:00,None,290.37,0,0,90,Clouds,overcast clouds,6127
09/10/12 18:00,None,290.13,0,0,90,Clouds,overcast clouds,4460
09/10/12 19:00,None,288.86,0,0,75,Clouds,broken clouds,3418
09/10/12 20:00,None,287.36,0,0,90,Clouds,overcast clouds,2775
09/10/12 21:00,None,285.11,0,0,90,Clouds,overcast clouds,2306
09/10/12 22:00,None,283.46,0,0,90,Clouds,overcast clouds,1846
09/10/12 23:00,None,282.45,0,0,90,Clouds,overcast clouds,947
10/10/12 00:00,None,281.88,0,0,90,Clouds,overcast clouds,494
10/10/12 01:00,None,281.78,0,0,90,Clouds,overcast clouds,332
10/10/12 02:00,None,281.09,0,0,75,Clouds,broken clouds,261
10/10/12 03:00,None,281.17,0,0,90,Clouds,overcast clouds,361
10/10/12 06:00,None,281.25,0,0,92,Clear,sky is clear,5875
10/10/12 07:00,None,281.25,0,0,99,Rain,light rain,6793
10/10/12 07:00,None,281.25,0,0,99,Drizzle,light intensity drizzle,6793
10/10/12 08:00,None,280.1,0,0,99,Rain,light rain,6283
10/10/12 08:00,None,280.1,0,0,99,Drizzle,light intensity drizzle,6283
10/10/12 09:00,None,279.61,0,0,99,Rain,light rain,5680
10/10/12 09:00,None,279.61,0,0,99,Drizzle,light intensity drizzle,5680
10/10/12 10:00,None,279.67,0,0,99,Clear,sky is clear,4632
10/10/12 11:00,None,280.19,0,0,1,Clear,sky is clear,4887
10/10/12 12:00,None,282.09,0,0,75,Clouds,broken clouds,5030
10/10/12 13:00,None,282.26,0,0,75,Clouds,broken clouds,5067
10/10/12 14:00,None,282.05,0,0,90,Clouds,overcast clouds,5227
10/10/12 15:00,None,281.59,0,0,90,Clouds,overcast clouds,5610
10/10/12 16:00,None,281.23,0,0,81,Clear,sky is clear,6286
10/10/12 18:00,None,282.6,0,0,81,Clear,sky is clear,4775
10/10/12 19:00,None,282.6,0,0,81,Clear,sky is clear,3340
10/10/12 20:00,None,282.6,0,0,81,Clear,sky is clear,3013
10/10/12 21:00,None,282.6,0,0,81,Clear,sky is clear,2603
10/10/12 22:00,None,282.6,0,0,81,Clear,sky is clear,1910
10/10/12 23:00,None,282.6,0,0,81,Clear,sky is clear,1037
11/10/12 01:00,None,273.9,0,0,1,Clear,sky is clear,347
11/10/12 03:00,None,274.4,0,0,75,Clouds,broken clouds,350
11/10/12 04:00,None,274.05,0,0,75,Clouds,broken clouds,850
11/10/12 05:00,None,273.71,0,0,40,Clouds,scattered clouds,2791
11/10/12 06:00,None,272.66,0,0,1,Clear,sky is clear,5809
11/10/12 07:00,None,272.65,0,0,1,Clear,sky is clear,6798
11/10/12 08:00,None,272.52,0,0,1,Clear,sky is clear,6304
11/10/12 09:00,None,275.19,0,0,20,Clouds,few clouds,5291
11/10/12 10:00,None,275.34,0,0,1,Clear,sky is clear,4638
11/10/12 14:00,None,284.1,0,0,50,Clear,sky is clear,5557
11/10/12 15:00,None,284.1,0,0,50,Clear,sky is clear,5818
11/10/12 16:00,None,283.78,0,0,75,Clouds,broken clouds,6272
11/10/12 17:00,None,283.52,0,0,75,Clouds,broken clouds,5944
11/10/12 18:00,None,283.32,0,0,90,Clouds,overcast clouds,4949
11/10/12 19:00,None,282.06,0,0,90,Clouds,overcast clouds,3511
11/10/12 20:00,None,281.95,0,0,90,Clouds,overcast clouds,3039
11/10/12 21:00,None,281.81,0,0,90,Clouds,overcast clouds,2679
11/10/12 22:00,None,282.16,0,0,90,Clouds,overcast clouds,2094
11/10/12 23:00,None,282.53,0,0,90,Clouds,overcast clouds,1284
12/10/12 00:00,None,283.91,0,0,90,Clouds,overcast clouds,630
12/10/12 01:00,None,284.64,0,0,90,Clouds,overcast clouds,410
12/10/12 02:00,None,284.61,0,0,90,Clouds,overcast clouds,331
12/10/12 03:00,None,283.18,0,0,72,Drizzle,light intensity drizzle,372
12/10/12 04:00,None,282.26,0,0,72,Rain,light rain,739
12/10/12 05:00,None,280.77,0,0,72,Drizzle,light intensity drizzle,2561
12/10/12 06:00,None,278.53,0,0,75,Clouds,broken clouds,5586
12/10/12 07:00,None,277.64,0,0,75,Clouds,broken clouds,6992
12/10/12 08:00,None,277.9,0,0,90,Clouds,overcast clouds,5860
12/10/12 09:00,None,278.18,0,0,90,Clouds,overcast clouds,5230
12/10/12 10:00,None,279.29,0,0,75,Clouds,broken clouds,4864
12/10/12 11:00,None,280.45,0,0,75,Clouds,broken clouds,5146
12/10/12 12:00,None,280.95,0,0,40,Clouds,scattered clouds,5526
12/10/12 13:00,None,281.74,0,0,40,Clouds,scattered clouds,5383
12/10/12 14:00,None,281.84,0,0,75,Clouds,broken clouds,5758
12/10/12 15:00,None,282.45,0,0,75,Clouds,broken clouds,5889
12/10/12 16:00,None,282.2,0,0,75,Clouds,broken clouds,6057
12/10/12 17:00,None,281.54,0,0,40,Clouds,scattered clouds,6028
12/10/12 18:00,None,280.21,0,0,20,Clouds,few clouds,5257
12/10/12 23:00,None,282.2,0,0,56,Clear,sky is clear,1897
13/10/12 00:00,None,272.58,0,0,1,Clear,sky is clear,1335
13/10/12 01:00,None,272.06,0,0,1,Clear,sky is clear,769
13/10/12 02:00,None,270.99,0,0,1,Clear,sky is clear,570
13/10/12 03:00,None,270.29,0,0,20,Clouds,few clouds,413
13/10/12 04:00,None,269.48,0,0,1,Clear,sky is clear,399
13/10/12 05:00,None,269.27,0,0,1,Clear,sky is clear,740
13/10/12 06:00,None,268.91,0,0,1,Clear,sky is clear,1420
13/10/12 07:00,None,268.98,0,0,75,Clouds,broken clouds,2220
13/10/12 08:00,None,269.23,0,0,40,Clouds,scattered clouds,3479
13/10/12 09:00,None,272.61,0,0,40,Clouds,scattered clouds,4546
13/10/12 10:00,None,276.78,0,0,20,Clouds,few clouds,4579
13/10/12 11:00,None,279.22,0,0,1,Clear,sky is clear,4438
13/10/12 12:00,None,280.35,0,0,1,Clear,sky is clear,4623
13/10/12 13:00,None,281.81,0,0,1,Clear,sky is clear,4440
13/10/12 14:00,None,283.05,0,0,1,Clear,sky is clear,4495
13/10/12 15:00,None,283.96,0,0,1,Clear,sky is clear,4483
13/10/12 16:00,None,284.53,0,0,1,Clear,sky is clear,4591
13/10/12 17:00,None,284.44,0,0,1,Clear,sky is clear,4477
13/10/12 18:00,None,283.64,0,0,1,Clear,sky is clear,4221
13/10/12 19:00,None,281.85,0,0,20,Clouds,few clouds,3672
13/10/12 20:00,None,281.38,0,0,1,Clear,sky is clear,3015
13/10/12 21:00,None,281.84,0,0,75,Clouds,broken clouds,2769
13/10/12 22:00,None,282.23,0,0,90,Clouds,overcast clouds,2875
13/10/12 23:00,None,282.18,0,0,90,Clouds,overcast clouds,1931
14/10/12 00:00,None,282.49,0,0,90,Clouds,overcast clouds,1309
14/10/12 01:00,None,282.54,0,0,90,Clouds,overcast clouds,870
14/10/12 02:00,None,282.58,0,0,90,Clouds,overcast clouds,654
14/10/12 03:00,None,282.23,0,0,90,Clouds,overcast clouds,364
14/10/12 04:00,None,282.08,0,0,90,Clouds,overcast clouds,262
14/10/12 05:00,None,282.23,0,0,90,Clouds,overcast clouds,505
14/10/12 06:00,None,282.24,0,0,90,Clouds,overcast clouds,861
14/10/12 07:00,None,282.24,0,0,90,Clouds,overcast clouds,1132
14/10/12 08:00,None,282.24,0,0,57,Mist,mist,1797
14/10/12 09:00,None,282.43,0,0,57,Drizzle,light intensity drizzle,2685
14/10/12 09:00,None,282.43,0,0,57,Mist,mist,2685
14/10/12 09:00,None,282.43,0,0,57,Haze,haze,2685
14/10/12 10:00,None,282.33,0,0,57,Drizzle,light intensity drizzle,3370
14/10/12 10:00,None,282.33,0,0,57,Mist,mist,3370
14/10/12 11:00,None,282.82,0,0,57,Drizzle,light intensity drizzle,3662
14/10/12 11:00,None,282.82,0,0,57,Mist,mist,3662
14/10/12 12:00,None,283.33,0,0,57,Mist,mist,4076
14/10/12 12:00,None,283.33,0,0,57,Rain,light rain,4076
14/10/12 12:00,None,283.33,0,0,57,Drizzle,light intensity drizzle,4076
14/10/12 13:00,None,283.75,0,0,93,Rain,light rain,4128
14/10/12 13:00,None,283.75,0,0,93,Mist,mist,4128
14/10/12 13:00,None,283.75,0,0,93,Drizzle,light intensity drizzle,4128
14/10/12 14:00,None,284.09,0,0,93,Mist,mist,4358
14/10/12 14:00,None,284.09,0,0,93,Rain,light rain,4358
14/10/12 14:00,None,284.09,0,0,93,Drizzle,light intensity drizzle,4358
14/10/12 15:00,None,284.55,0,0,93,Mist,mist,4342
14/10/12 15:00,None,284.55,0,0,93,Rain,light rain,4342
14/10/12 16:00,None,284.68,0,0,93,Mist,mist,4234
14/10/12 17:00,None,284.64,0,0,93,Rain,light rain,4271
14/10/12 17:00,None,284.64,0,0,93,Mist,mist,4271
14/10/12 18:00,None,284.4,0,0,93,Mist,mist,4080
14/10/12 19:00,None,284.17,0,0,93,Mist,mist,3453
14/10/12 20:00,None,284.03,0,0,93,Mist,mist,2718
14/10/12 21:00,None,283.58,0,0,93,Mist,mist,2439
14/10/12 22:00,None,283.04,0,0,93,Mist,mist,1819
14/10/12 23:00,None,281.95,0,0,93,Mist,mist,1002
14/10/12 23:00,None,281.95,0,0,93,Fog,fog,1002
15/10/12 00:00,None,281.61,0,0,93,Mist,mist,542
15/10/12 00:00,None,281.61,0,0,93,Fog,fog,542
15/10/12 01:00,None,281.57,0,0,85,Fog,fog,303
15/10/12 02:00,None,281.42,0,0,85,Fog,fog,239
15/10/12 03:00,None,281.29,0,0,85,Mist,mist,335
15/10/12 03:00,None,281.29,0,0,85,Fog,fog,335
15/10/12 04:00,None,281.02,0,0,85,Mist,mist,810
15/10/12 04:00,None,281.02,0,0,85,Fog,fog,810
15/10/12 05:00,None,280.82,0,0,85,Mist,mist,2606
15/10/12 05:00,None,280.82,0,0,85,Fog,fog,2606
15/10/12 06:00,None,280.39,0,0,85,Mist,mist,5714
15/10/12 07:00,None,280.19,0,0,100,Mist,mist,6798
15/10/12 08:00,None,279.82,0,0,100,Mist,mist,6114
15/10/12 09:00,None,279.75,0,0,100,Mist,mist,5094
15/10/12 10:00,None,280.07,0,0,100,Mist,mist,4473
15/10/12 11:00,None,280.32,0,0,90,Clouds,overcast clouds,4529
15/10/12 12:00,None,281.72,0,0,100,Clear,sky is clear,4823
15/10/12 13:00,None,284.01,0,0,40,Clouds,scattered clouds,4872
15/10/12 14:00,None,285.88,0,0,1,Clear,sky is clear,5238
15/10/12 15:00,None,286.87,0,0,1,Clear,sky is clear,5584
15/10/12 16:00,None,287.6,0,0,20,Clouds,few clouds,6246
15/10/12 17:00,None,287.27,0,0,20,Clouds,few clouds,5957
15/10/12 18:00,None,286.18,0,0,20,Clouds,few clouds,4535
15/10/12 19:00,None,285.2,0,0,75,Clouds,broken clouds,3234
15/10/12 20:00,None,284.68,0,0,75,Clouds,broken clouds,2677
15/10/12 21:00,None,284.49,0,0,90,Clouds,overcast clouds,2077
15/10/12 22:00,None,283.54,0,0,20,Clouds,few clouds,1380
15/10/12 23:00,None,282.33,0,0,75,Clouds,broken clouds,927
16/10/12 00:00,None,281.21,0,0,20,Clouds,few clouds,500
16/10/12 01:00,None,279.87,0,0,1,Clear,sky is clear,324
16/10/12 02:00,None,278.93,0,0,1,Clear,sky is clear,257
16/10/12 03:00,None,277.91,0,0,1,Clear,sky is clear,354
16/10/12 04:00,None,277.21,0,0,1,Clear,sky is clear,769
16/10/12 05:00,None,276.61,0,0,1,Clear,sky is clear,2769
16/10/12 06:00,None,276.11,0,0,1,Clear,sky is clear,5789
16/10/12 07:00,None,274.81,0,0,20,Clouds,few clouds,7055
16/10/12 08:00,None,274.99,0,0,20,Clouds,few clouds,6408
16/10/12 09:00,None,277.91,0,0,20,Clouds,few clouds,5254
16/10/12 10:00,None,280.71,0,0,20,Clouds,few clouds,4547
16/10/12 11:00,None,283.85,0,0,20,Clouds,few clouds,4784
16/10/12 12:00,None,286.01,0,0,40,Clouds,scattered clouds,5015
16/10/12 13:00,None,286.31,0,0,1,Clear,sky is clear,5057
16/10/12 14:00,None,288.15,0,0,75,Clouds,broken clouds,5430
16/10/12 15:00,None,289.15,0,0,75,Clouds,broken clouds,5813
16/10/12 16:00,None,288.99,0,0,75,Clouds,broken clouds,6496
16/10/12 17:00,None,288.86,0,0,75,Clouds,broken clouds,6429
16/10/12 18:00,None,288.16,0,0,90,Clouds,overcast clouds,5142
16/10/12 19:00,None,287.28,0,0,68,Rain,light rain,3311
16/10/12 20:00,None,287.04,0,0,90,Clouds,overcast clouds,2777
16/10/12 21:00,None,286.9,0,0,90,Clouds,overcast clouds,2331
16/10/12 22:00,None,287.09,0,0,90,Clouds,overcast clouds,1767
16/10/12 23:00,None,287.09,0,0,90,Clouds,overcast clouds,1093
17/10/12 00:00,None,286.89,0,0,75,Clouds,broken clouds,554
17/10/12 01:00,None,286.93,0,0,75,Clouds,broken clouds,333
17/10/12 02:00,None,286.93,0,0,90,Clouds,overcast clouds,267
17/10/12 03:00,None,287.07,0,0,90,Clouds,overcast clouds,358
17/10/12 04:00,None,286.56,0,0,75,Clouds,broken clouds,777
17/10/12 05:00,None,285.91,0,0,90,Clouds,overcast clouds,2732
17/10/12 06:00,None,285.29,0,0,90,Clouds,overcast clouds,5637
17/10/12 07:00,None,284.92,0,0,75,Clouds,broken clouds,5564
17/10/12 08:00,None,285.35,0,0,75,Clouds,broken clouds,6274
17/10/12 09:00,None,285.72,0,0,100,Rain,proximity shower rain,5403
17/10/12 09:00,None,285.72,0,0,100,Rain,light rain,5403
17/10/12 10:00,None,287.09,0,0,75,Clouds,broken clouds,4680
17/10/12 11:00,None,288.31,0,0,75,Clouds,broken clouds,4642
17/10/12 12:00,None,288.61,0,0,1,Clear,sky is clear,4979
17/10/12 13:00,None,290.32,0,0,1,Clear,sky is clear,4851
17/10/12 14:00,None,291.36,0,0,1,Clear,sky is clear,4291
17/10/12 15:00,None,292.01,0,0,1,Clear,sky is clear,4714
17/10/12 16:00,None,292.61,0,0,1,Clear,sky is clear,6723
17/10/12 17:00,None,292.65,0,0,1,Clear,sky is clear,6180
17/10/12 18:00,None,290.52,0,0,40,Clouds,scattered clouds,4843
17/10/12 19:00,None,288.35,0,0,40,Clouds,scattered clouds,3435
17/10/12 20:00,None,286.72,0,0,40,Clouds,scattered clouds,2921
17/10/12 21:00,None,285.49,0,0,40,Clouds,scattered clouds,2763
17/10/12 22:00,None,284.22,0,0,20,Clouds,few clouds,1930
17/10/12 23:00,None,283.8,0,0,20,Clouds,few clouds,1160
18/10/12 00:00,None,283.72,0,0,20,Clouds,few clouds,654
18/10/12 01:00,None,282.8,0,0,40,Clouds,scattered clouds,374
18/10/12 02:00,None,282.32,0,0,99,Mist,mist,301
18/10/12 03:00,None,282.38,0,0,99,Mist,mist,397
18/10/12 04:00,None,282.76,0,0,90,Clouds,overcast clouds,794
18/10/12 05:00,None,282.88,0,0,99,Mist,mist,2564
18/10/12 06:00,None,284.18,0,0,75,Clouds,broken clouds,5358
18/10/12 07:00,None,284.69,0,0,90,Clouds,overcast clouds,6441
18/10/12 08:00,None,285,0,0,90,Clouds,overcast clouds,5536
18/10/12 09:00,None,286.9,0,0,99,Rain,light rain,5256
18/10/12 10:00,None,288.35,0,0,90,Clouds,overcast clouds,4619
18/10/12 11:00,None,289.59,0,0,90,Clouds,overcast clouds,5107
18/10/12 12:00,None,288.27,0,0,99,Rain,light rain,5147
18/10/12 13:00,None,286.41,0,0,90,Clouds,overcast clouds,5283
18/10/12 14:00,None,285.96,0,0,90,Clouds,overcast clouds,5704
18/10/12 15:00,None,287.04,0,0,90,Clouds,overcast clouds,5887
18/10/12 16:00,None,287.18,0,0,90,Clouds,overcast clouds,6307
18/10/12 17:00,None,286.94,0,0,90,Clouds,overcast clouds,5953
18/10/12 18:00,None,286.01,0,0,90,Clouds,overcast clouds,4519
