,Date,Number of Passengers
192,192,1991486.0
193,193,1656385.0
194,194,1977575.0
195,195,2060801.0
196,196,2190596.0
197,197,2404391.0
198,198,2866807.0
199,199,3043124.0
200,200,2351971.0
201,201,2251498.0
202,202,1954793.0
203,203,2112618.0
204,204,1993042.0
205,205,1608734.0
206,206,2165332.0
207,207,2144061.0
208,208,2323394.0
209,209,2714862.0
210,210,3191782.0
211,211,3314500.0
212,212,2614723.0
213,213,2437824.0
214,214,2143030.0
215,215,2229900.0
216,216,2148141.0
217,217,1779909.0
218,218,2258064.0
219,219,2422847.0
220,220,2453553.0
221,221,2769177.0
222,222,3243100.0
223,223,3404143.0
224,224,2737805.0
225,225,2596808.0
226,226,2244701.0
227,227,2322025.0
228,228,2063353.0
229,229,1958314.0
230,230,2472343.0
231,231,2435105.0
232,232,2617167.0
233,233,2896682.0
234,234,3269018.0
235,235,3441595.0
236,236,2684385.0
237,237,2593753.0
238,238,2239187.0
239,239,2484452.0
240,240,2238277.0
241,241,1956363.0
242,242,2500718.0
243,243,2429460.0
244,244,2603959.0
245,245,2831334.0
246,246,3244966.0
247,247,3458134.0
248,248,2708643.0
249,249,2590679.0
250,250,2323346.0
251,251,2471340.0
252,252,2325866.0
253,253,2059424.0
254,254,2464590.0
255,255,2521022.0
256,256,2658392.0
257,257,2840126.0
258,258,3123132.0
259,259,3300421.0
260,260,2672039.0
261,261,2470268.0
262,262,2216710.0
263,263,2406903.0
264,264,2221026.0
265,265,1940449.0
266,266,2587600.0
267,267,2513051.0
268,268,2586190.0
269,269,2959859.0
270,270,3265863.0
271,271,3396228.0
272,272,2692932.0
273,273,2700187.0
274,274,2486329.0
275,275,2358215.0
276,276,2221910.0
277,277,2112365.0
278,278,2660577.0
279,279,2747955.0
280,280,2810190.0
281,281,3009971.0
282,282,3324662.0
283,283,3418492.0
284,284,2773322.0
285,285,2707406.0
286,286,2529566.0
287,287,2511104.0
288,288,2321686.0
289,289,2085349.0
290,290,2570368.0
291,291,2708867.0
292,292,2685555.0
293,293,2924036.0
294,294,3250882.0
295,295,3408881.0
296,296,1870571.0
297,297,1728335.0
298,298,1729776.0
299,299,2026740.0
300,300,2017115.0
301,301,1870895.0
302,302,2436851.0
303,303,2324078.0
304,304,2432696.0
305,305,2671555.0
306,306,3009093.0
307,307,3219483.0
308,308,2465361.0
309,309,2479107.0
310,310,2315599.0
311,311,2696355.0
312,312,2457070.0
313,313,2106359.0
314,314,2470182.0
315,315,2353790.0
316,316,2426504.0
317,317,2728936.0
318,318,3195327.0
319,319,3319859.0
320,320,2557664.0
321,321,2640770.0
322,322,2552796.0
323,323,2927234.0
324,324,2665954.0
325,325,2509779.0
326,326,2966915.0
327,327,3118133.0
328,328,3034531.0
329,329,3324925.0
330,330,3775720.0
331,331,3907091.0
332,332,3036368.0
333,333,3062758.0
334,334,2989078.0
335,335,3183239.0
336,336,3037983.0
337,337,2758552.0
338,338,3488802.0
339,339,3382056.0
340,340,3500367.0
341,341,3630810.0
342,342,4146051.0
343,343,4108341.0
344,344,3229538.0
345,345,3125845.0
346,346,3190388.0
347,347,3293178.0
348,348,3094700.0
349,349,2722498.0
350,350,3434962.0
351,351,3544267.0
352,352,3420089.0
353,353,3753481.0
354,354,4210807.0
355,355,4220900.0
356,356,3434444.0
357,357,3568908.0
358,358,3484448.0
359,359,3739378.0
360,360,3489004.0
361,361,3007257.0
362,362,3915492.0
363,363,4032447.0
364,364,4099820.0
365,365,4375225.0
366,366,4655003.0
367,367,4735348.0
368,368,3839225.0
369,369,3884935.0
370,370,3770190.0
371,371,3913870.0
372,372,3590126.0
373,373,3268228.0
374,374,4068719.0
375,375,3943887.0
376,376,4163946.0
377,377,4336036.0
378,378,4769732.0
379,379,4820485.0
380,380,3726962.0
381,381,3811476.0
382,382,3501737.0
383,383,3801782.0
384,384,3362945.0
385,385,3003610.0
386,386,3654594.0
387,387,3825614.0
388,388,3908798.0
389,389,4113916.0
390,390,4594578.0
391,391,4691343.0
392,392,3763901.0
393,393,3801069.0
394,394,3437770.0
395,395,3719804.0
396,396,3345769.0
397,397,2881474.0
398,398,3666012.0
399,399,3624713.0
400,400,3932920.0
401,401,4282071.0
402,402,4687045.0
403,403,4718586.0
404,404,3933255.0
405,405,4013193.0
406,406,3745653.0
407,407,3690195.0
408,408,3396238.0
409,409,2984436.0
410,410,3854583.0
411,411,3969048.0
412,412,4182902.0
413,413,4345932.0
414,414,4823893.0
415,415,4539900.0
416,416,4032192.0
417,417,3996774.0
418,418,3696617.0
419,419,3822082.0
420,420,3522705.0
421,421,3239977.0
422,422,4054413.0
423,423,4131110.0
424,424,4196869.0
425,425,4522449.0
426,426,4909743.0
427,427,4986731.0
428,428,4134934.0
429,429,3844052.0
430,430,3738653.0
431,431,3992540.0
432,432,3726946.0
433,433,3182700.0
434,434,4167173.0
435,435,3964978.0
436,436,4323261.0
437,437,4596311.0
438,438,4968173.0
439,439,5088447.0
440,440,4210409.0
441,441,4209188.0
442,442,3717622.0
443,443,4295150.0
444,444,3732908.0
445,445,3240578.0
446,446,4134490.0
447,447,4410994.0
448,448,4688566.0
449,449,4838571.0
450,450,5232463.0
451,451,5477187.0
452,452,4541012.0
453,453,4513281.0
454,454,3960179.0
455,455,4447521.0
456,456,3952123.0
457,457,3525008.0
458,458,4417086.0
459,459,4634132.0
460,460,4965684.0
461,461,5153820.0
462,462,5647863.0
463,463,5809724.0
464,464,4782097.0
465,465,4900066.0
466,466,4342058.0
467,467,4697493.0
