,Date,Line 200
232,232,50.0
233,233,54.0
234,234,59.0
235,235,62.0
236,236,63.0
237,237,63.0
238,238,64.0
239,239,65.0
240,240,72.0
241,241,54.0
242,242,60.0
243,243,63.0
244,244,63.0
245,245,60.0
246,246,53.0
247,247,70.0
248,248,66.0
249,249,65.0
250,250,62.0
251,251,92.0
252,252,114.0
253,253,112.0
254,254,114.0
255,255,103.0
256,256,132.0
257,257,230.0
258,258,122.0
259,259,104.0
260,260,106.0
261,261,102.0
262,262,91.0
263,263,168.0
264,264,226.0
265,265,70.0
266,266,57.0
267,267,53.0
268,268,45.0
269,269,46.0
270,270,44.0
271,271,44.0
272,272,40.0
273,273,40.0
274,274,41.0
275,275,42.0
276,276,44.0
277,277,45.0
278,278,46.0
279,279,46.0
280,280,107.0
281,281,115.0
282,282,111.0
283,283,102.0
284,284,100.0
285,285,98.0
286,286,103.0
287,287,118.0
288,288,109.0
289,289,114.0
290,290,105.0
291,291,135.0
292,292,254.0
293,293,254.0
294,294,255.0
295,295,254.0
296,296,255.0
297,297,250.0
298,298,253.0
299,299,207.0
300,300,242.0
301,301,241.0
302,302,246.0
303,303,250.0
304,304,254.0
305,305,244.0
306,306,232.0
307,307,81.0
308,308,76.0
309,309,80.0
310,310,84.0
311,311,84.0
312,312,84.0
313,313,104.0
314,314,112.0
315,315,101.0
316,316,171.0
317,317,248.0
318,318,245.0
319,319,255.0
320,320,251.0
321,321,242.0
322,322,245.0
323,323,236.0
324,324,162.0
325,325,61.0
326,326,78.0
327,327,86.0
328,328,72.0
329,329,73.0
330,330,73.0
331,331,72.0
332,332,70.0
333,333,67.0
334,334,64.0
335,335,63.0
336,336,55.0
337,337,64.0
338,338,104.0
339,339,86.0
340,340,66.0
341,341,65.0
342,342,70.0
343,343,108.0
344,344,109.0
345,345,99.0
346,346,109.0
347,347,112.0
348,348,98.0
349,349,104.0
350,350,104.0
351,351,106.0
352,352,104.0
353,353,61.0
354,354,51.0
355,355,54.0
356,356,37.0
357,357,40.0
358,358,51.0
359,359,38.0
360,360,44.0
361,361,45.0
362,362,46.0
363,363,47.0
364,364,71.0
365,365,94.0
366,366,98.0
367,367,109.0
368,368,107.0
369,369,105.0
370,370,103.0
371,371,89.0
372,372,79.0
373,373,85.0
374,374,130.0
375,375,99.0
376,376,170.0
377,377,249.0
378,378,251.0
379,379,255.0
380,380,255.0
381,381,246.0
382,382,218.0
383,383,219.0
384,384,230.0
385,385,252.0
386,386,252.0
387,387,253.0
388,388,245.0
389,389,255.0
390,390,113.0
391,391,70.0
392,392,69.0
393,393,106.0
394,394,255.0
395,395,255.0
396,396,243.0
397,397,252.0
398,398,247.0
399,399,158.0
400,400,157.0
401,401,162.0
402,402,188.0
403,403,88.0
404,404,65.0
405,405,70.0
406,406,79.0
407,407,62.0
408,408,66.0
409,409,65.0
410,410,62.0
411,411,60.0
412,412,58.0
413,413,57.0
414,414,56.0
415,415,56.0
416,416,58.0
417,417,59.0
418,418,60.0
419,419,61.0
420,420,61.0
421,421,63.0
422,422,67.0
423,423,70.0
424,424,65.0
425,425,61.0
426,426,59.0
427,427,66.0
428,428,76.0
429,429,80.0
430,430,75.0
431,431,68.0
432,432,61.0
433,433,55.0
434,434,52.0
435,435,54.0
436,436,55.0
437,437,56.0
438,438,64.0
439,439,74.0
440,440,65.0
441,441,67.0
442,442,64.0
443,443,57.0
444,444,55.0
445,445,62.0
446,446,70.0
447,447,73.0
448,448,63.0
449,449,73.0
450,450,79.0
451,451,77.0
452,452,75.0
453,453,74.0
454,454,69.0
455,455,62.0
456,456,58.0
457,457,54.0
458,458,49.0
459,459,49.0
460,460,58.0
461,461,67.0
462,462,66.0
463,463,60.0
464,464,55.0
465,465,73.0
466,466,91.0
467,467,95.0
468,468,92.0
469,469,92.0
470,470,96.0
471,471,100.0
472,472,76.0
473,473,83.0
474,474,90.0
475,475,77.0
476,476,52.0
477,477,46.0
478,478,49.0
479,479,43.0
480,480,59.0
