,ds,Line 170
205,205,16.0
206,206,16.0
207,207,16.0
208,208,23.0
209,209,25.0
210,210,12.0
211,211,43.0
212,212,80.0
213,213,67.0
214,214,74.0
215,215,56.0
216,216,50.0
217,217,41.0
218,218,39.0
219,219,31.0
220,220,41.0
221,221,51.0
222,222,49.0
223,223,70.0
224,224,78.0
225,225,45.0
226,226,71.0
227,227,44.0
228,228,50.0
229,229,41.0
230,230,56.0
231,231,74.0
232,232,81.0
233,233,69.0
234,234,29.0
235,235,32.0
236,236,19.0
237,237,24.0
238,238,29.0
239,239,32.0
240,240,25.0
241,241,32.0
242,242,50.0
243,243,75.0
244,244,69.0
245,245,63.0
246,246,60.0
247,247,24.0
248,248,23.0
249,249,52.0
250,250,39.0
251,251,33.0
252,252,40.0
253,253,34.0
254,254,33.0
255,255,28.0
256,256,34.0
257,257,44.0
258,258,44.0
259,259,16.0
260,260,18.0
261,261,26.0
262,262,37.0
263,263,26.0
264,264,23.0
265,265,23.0
266,266,23.0
267,267,25.0
268,268,27.0
269,269,30.0
270,270,33.0
271,271,35.0
272,272,46.0
273,273,8.0
274,274,151.0
275,275,232.0
276,276,205.0
277,277,217.0
278,278,210.0
279,279,209.0
280,280,210.0
281,281,210.0
282,282,210.0
283,283,210.0
284,284,210.0
285,285,209.0
286,286,209.0
287,287,209.0
288,288,209.0
289,289,209.0
290,290,209.0
291,291,209.0
292,292,209.0
293,293,209.0
294,294,209.0
295,295,209.0
296,296,209.0
297,297,209.0
298,298,209.0
299,299,208.0
300,300,208.0
301,301,207.0
302,302,207.0
303,303,207.0
304,304,207.0
305,305,207.0
306,306,207.0
307,307,207.0
308,308,207.0
309,309,207.0
310,310,207.0
311,311,207.0
312,312,206.0
313,313,206.0
314,314,206.0
315,315,206.0
316,316,206.0
317,317,206.0
318,318,206.0
319,319,206.0
320,320,205.0
321,321,205.0
322,322,205.0
323,323,205.0
324,324,205.0
325,325,205.0
326,326,205.0
327,327,205.0
328,328,204.0
329,329,204.0
330,330,204.0
331,331,204.0
332,332,204.0
333,333,204.0
334,334,204.0
335,335,204.0
336,336,203.0
337,337,204.0
338,338,204.0
339,339,204.0
340,340,203.0
341,341,203.0
342,342,202.0
343,343,201.0
344,344,204.0
345,345,198.0
346,346,201.0
347,347,206.0
348,348,194.0
349,349,167.0
350,350,150.0
351,351,148.0
352,352,166.0
353,353,127.0
354,354,99.0
355,355,72.0
356,356,64.0
357,357,70.0
358,358,48.0
359,359,28.0
360,360,28.0
361,361,87.0
362,362,175.0
363,363,212.0
364,364,218.0
365,365,213.0
366,366,199.0
367,367,213.0
368,368,205.0
369,369,202.0
370,370,200.0
371,371,200.0
372,372,201.0
373,373,202.0
374,374,201.0
375,375,200.0
376,376,200.0
377,377,200.0
378,378,200.0
379,379,200.0
380,380,200.0
381,381,200.0
382,382,200.0
383,383,200.0
384,384,202.0
385,385,202.0
386,386,201.0
387,387,201.0
388,388,201.0
389,389,200.0
390,390,200.0
391,391,200.0
392,392,198.0
393,393,198.0
394,394,198.0
395,395,198.0
396,396,198.0
397,397,198.0
398,398,198.0
399,399,198.0
400,400,198.0
401,401,198.0
402,402,198.0
403,403,198.0
404,404,198.0
405,405,198.0
406,406,198.0
407,407,198.0
408,408,197.0
409,409,197.0
410,410,197.0
411,411,196.0
412,412,196.0
413,413,195.0
414,414,195.0
415,415,195.0
416,416,195.0
417,417,195.0
418,418,195.0
419,419,195.0
420,420,195.0
421,421,195.0
422,422,195.0
423,423,195.0
424,424,195.0
425,425,195.0
426,426,195.0
427,427,195.0
428,428,195.0
429,429,195.0
430,430,195.0
431,431,195.0
432,432,194.0
433,433,194.0
434,434,194.0
435,435,194.0
436,436,194.0
437,437,194.0
438,438,194.0
439,439,194.0
440,440,194.0
441,441,194.0
442,442,194.0
443,443,193.0
444,444,193.0
445,445,192.0
446,446,192.0
447,447,192.0
448,448,192.0
449,449,192.0
450,450,192.0
451,451,192.0
452,452,192.0
453,453,192.0
454,454,192.0
455,455,192.0
456,456,190.0
457,457,193.0
458,458,193.0
459,459,191.0
460,460,192.0
461,461,193.0
462,462,190.0
463,463,185.0
464,464,196.0
465,465,189.0
466,466,155.0
467,467,104.0
468,468,76.0
469,469,75.0
470,470,68.0
471,471,52.0
472,472,40.0
473,473,32.0
474,474,96.0
475,475,124.0
476,476,93.0
477,477,145.0
478,478,210.0
479,479,181.0
480,480,178.0
