,Date,Number of Passengers
232,232,1846377.0
233,233,1791526.0
234,234,1761943.0
235,235,1900052.0
236,236,1647146.0
237,237,1830282.0
238,238,1700031.0
239,239,1807789.0
240,240,1556422.0
241,241,1583570.0
242,242,1852100.0
243,243,1897928.0
244,244,1913344.0
245,245,1870133.0
246,246,1826244.0
247,247,1927108.0
248,248,1736171.0
249,249,1865424.0
250,250,1746312.0
251,251,1832692.0
252,252,1559020.0
253,253,1625809.0
254,254,1940551.0
255,255,1998317.0
256,256,2002495.0
257,257,1957068.0
258,258,1991672.0
259,259,2017301.0
260,260,1805361.0
261,261,2010192.0
262,262,1972239.0
263,263,1931910.0
264,264,1644940.0
265,265,1685897.0
266,266,2044313.0
267,267,2084331.0
268,268,2057890.0
269,269,2035655.0
270,270,2001997.0
271,271,2140981.0
272,272,1874530.0
273,273,2233136.0
274,274,2120858.0
275,275,2002395.0
276,276,1683240.0
277,277,1809718.0
278,278,2153383.0
279,279,2206352.0
280,280,2231519.0
281,281,2173983.0
282,282,2168142.0
283,283,2256335.0
284,284,2063562.0
285,285,2259335.0
286,286,2302174.0
287,287,2052291.0
288,288,1834076.0
289,289,1789763.0
290,290,2034885.0
291,291,2243741.0
292,292,2234093.0
293,293,2119041.0
294,294,2251441.0
295,295,2400420.0
296,296,1094429.0
297,297,1397716.0
298,298,1594152.0
299,299,1526117.0
300,300,1454252.0
301,301,1493055.0
302,302,1871508.0
303,303,1862250.0
304,304,1951934.0
305,305,1907602.0
306,306,1983782.0
307,307,2124135.0
308,308,1659955.0
309,309,1892122.0
310,310,1851460.0
311,311,1934624.0
312,312,1607376.0
313,313,1496412.0
314,314,1766587.0
315,315,1851131.0
316,316,1969293.0
317,317,1992554.0
318,318,2072647.0
319,319,2096143.0
320,320,1736545.0
321,321,2017658.0
322,322,1928802.0
323,323,1947622.0
324,324,1606774.0
325,325,1724070.0
326,326,1980318.0
327,327,2149926.0
328,328,2075055.0
329,329,2150417.0
330,330,2150091.0
331,331,2229207.0
332,332,1910068.0
333,333,2164729.0
334,334,2150508.0
335,335,2162040.0
336,336,1845099.0
337,337,1847803.0
338,338,2247625.0
339,339,2278007.0
340,340,2363803.0
341,341,2307451.0
342,342,2338433.0
343,343,2316168.0
344,344,2049918.0
345,345,2045144.0
346,346,2129039.0
347,347,2120870.0
348,348,1883254.0
349,349,1808599.0
350,350,2254039.0
351,351,2283562.0
352,352,2307208.0
353,353,2323463.0
354,354,2288910.0
355,355,2318716.0
356,356,1971827.0
357,357,2134167.0
358,358,2136963.0
359,359,2099895.0
360,360,1823072.0
361,361,1717768.0
362,362,2104054.0
363,363,2204915.0
364,364,2262912.0
365,365,2213854.0
366,366,2273827.0
367,367,2385958.0
368,368,1951912.0
369,369,2117677.0
370,370,2064194.0
371,371,1906124.0
372,372,1718539.0
373,373,1685368.0
374,374,2025481.0
375,375,2008125.0
376,376,2094677.0
377,377,2046431.0
378,378,2157538.0
379,379,2171070.0
380,380,1740889.0
381,381,1906311.0
382,382,1706577.0
383,383,1812050.0
384,384,1481795.0
385,385,1434975.0
386,386,1747661.0
387,387,1838604.0
388,388,1858392.0
389,389,1920212.0
390,390,2124057.0
391,391,2144793.0
392,392,1850148.0
393,393,1984689.0
394,394,1867480.0
395,395,1900430.0
396,396,1599350.0
397,397,1460007.0
398,398,1957513.0
399,399,2063074.0
400,400,2128734.0
401,401,2126091.0
402,402,2181561.0
403,403,2284369.0
404,404,2028166.0
405,405,2171185.0
406,406,2055210.0
407,407,1927822.0
408,408,1636991.0
409,409,1555912.0
410,410,2008119.0
411,411,2030613.0
412,412,2192165.0
413,413,2169680.0
414,414,2217694.0
415,415,2168623.0
416,416,1992305.0
417,417,2105938.0
418,418,2039282.0
419,419,2005156.0
420,420,1727821.0
421,421,1698629.0
422,422,2074519.0
423,423,2206486.0
424,424,2302658.0
425,425,2280219.0
426,426,2282955.0
427,427,2538303.0
428,428,2133350.0
429,429,2175999.0
430,430,2084534.0
431,431,2202311.0
432,432,1927283.0
433,433,1772854.0
434,434,2305962.0
435,435,2248195.0
436,436,2371835.0
437,437,2330377.0
438,438,2379680.0
439,439,2520033.0
440,440,2105957.0
441,441,2320609.0
442,442,2092298.0
443,443,2306017.0
444,444,1861037.0
445,445,1685442.0
446,446,2266651.0
447,447,2346001.0
448,448,2448007.0
449,449,2402642.0
450,450,2440633.0
451,451,2522510.0
452,452,2145122.0
453,453,2355465.0
454,454,2153415.0
455,455,2345170.0
456,456,1831802.0
457,457,1831610.0
458,458,2330616.0
459,459,2433279.0
460,460,2523355.0
461,461,2534257.0
462,462,2673089.0
463,463,2675308.0
464,464,2340430.0
465,465,2529884.0
466,466,2333555.0
467,467,2400483.0
