,ds,USD/Bitcoin
399,399,442.17
400,400,452.49
401,401,512.16
402,402,539.47
403,403,573.74
404,404,577.54
405,405,577.549875
406,406,702.0665
407,407,762.43005
408,408,760.8168
409,409,587.4542375
410,410,664.9068875
411,411,646.378475
412,412,675.1863375
413,413,676.3294375
414,414,636.3588625
415,415,648.0949
416,416,657.4524875
417,417,662.15335
418,418,672.8432
419,419,651.5813625
420,420,654.6954499999999
421,421,655.32875
422,422,628.015375
423,423,565.0516714285715
424,424,588.2312714285714
425,425,588.7753875
426,426,587.7556
427,427,570.1422249999999
428,428,576.0360875
429,429,582.821675
430,430,582.8479875
431,431,571.5419875
432,432,578.616575
433,433,576.218
434,434,608.10975
435,435,627.777875
436,436,608.15855
437,437,612.0847375
438,438,608.006875
439,439,609.74875
440,440,604.2225
441,441,608.1469625
442,442,606.36375
443,443,610.5189124999999
444,444,612.3522875
445,445,618.046
446,446,639.30995
447,447,639.5656428571428
448,448,638.1833875
449,449,630.22705
450,450,653.0028625
451,451,672.2214125
452,452,714.89545
453,453,728.2068875
454,454,703.6940875
455,455,703.819
456,456,713.690125
457,457,701.901125
458,458,736.9143750000001
459,459,750.030875
460,460,748.749375
461,461,739.786125
462,462,733.0521249999999
463,463,752.246125
464,464,764.81625
465,465,766.1166375
466,466,773.40125
467,467,778.4935
468,468,781.5683750000001
469,469,789.524125
470,470,860.599875
471,471,886.9003749999999
472,472,967.480375
473,473,959.879875
474,474,1023.141875
475,475,883.099175
476,476,894.18025
477,477,803.372375
478,478,822.2076
479,479,874.9949625
480,480,920.4479
481,481,890.320225
482,482,919.27975
483,483,921.1793250000001
484,484,1007.6137125
485,485,1014.837725
486,486,1052.3766125
487,487,1008.8466625
488,488,1011.78025
489,489,1055.53685
490,490,1084.7550125
491,491,1172.01715
492,492,1175.0497500000001
493,493,1222.4994000000002
494,494,1267.0272
495,495,1238.4470000000001
496,496,1098.6171285714286
497,497,1239.816225
498,498,1180.945657142857
499,499,1029.8008125000001
500,500,1028.7268625
501,501,959.3400857142857
502,502,1046.127625
503,503,1079.5493142857142
504,504,1141.813
505,505,1196.3079375
506,506,1208.8005
507,507,1218.92205
508,508,1184.8806714285713
509,509,1216.1867428571427
510,510,1258.3614125
511,511,1262.902775
512,512,1345.3539125
513,513,1353.0045
514,514,1507.5768571428573
515,515,1560.4102
516,516,1721.2849714285715
517,517,1720.4785
518,518,1723.1269375
519,519,1899.0828875
520,520,2046.5344625
521,521,2379.1938333333333
522,522,2014.0529625
523,523,2239.2053428571426
524,524,2446.142414285714
525,525,2698.3138125
526,526,2792.9991875
527,527,2961.8296124999997
528,528,2447.0415625
529,529,2665.927
530,530,2754.97825
531,531,2710.4122857142856
532,532,2436.4510571428573
533,533,2544.414475
534,534,2501.191342857143
535,535,2619.1875030042856
536,536,2562.1306624999997
537,537,2369.8621285714285
538,538,2190.947833333333
539,539,2176.6234875
540,540,2898.1884166666664
541,541,2725.549716666667
542,542,2495.028585714286
543,543,2722.512785714286
544,544,2710.4130666666665
545,545,2873.8510833333335
546,546,3407.2268333333336
547,547,3424.4042000000004
548,548,4125.54802
549,549,4360.876871428572
550,550,4222.662214285714
551,551,4082.180983333333
552,552,4363.05445
553,553,4391.673516666667
554,554,4748.255
555,555,4648.159983333334
556,556,4641.822016666666
557,557,4375.55952
558,558,4219.036616666667
559,559,3774.2652833333336
560,560,4093.316666666667
561,561,3658.8981833333332
562,562,3703.0406500000004
563,563,4202.554983333333
564,564,4335.368316666667
565,565,4293.3066
566,566,4345.6033333333335
567,567,4777.967816666666
568,568,5325.130683333333
569,569,5647.311666666667
570,570,5546.176100000001
571,571,6020.371683333334
572,572,5505.827766666666
573,573,5772.504983333333
574,574,6105.87422
575,575,7068.020100000001
576,576,7377.012366666667
577,577,7415.878250000001
578,578,6362.851033333333
579,579,6635.412633333333
580,580,7786.884366666666
581,581,8255.596816666666
582,582,8148.95
583,583,9284.1438
584,584,9879.328333333333
585,585,11071.368333333332
586,586,11878.433333333334
587,587,16007.436666666666
588,588,16762.116666666665
589,589,16678.892
590,590,19289.785
591,591,16026.271666666667
592,592,15360.261666666667
593,593,15999.048333333332
594,594,14640.14
595,595,13812.186666666666
596,596,15199.355000000001
597,597,16651.471666666668
598,598,15126.398333333333
599,599,14499.773333333333
600,600,11180.998333333331
601,601,11422.44
602,602,10544.593333333332
603,603,11214.44
604,604,11765.71
605,605,10125.013333333334
606,606,9076.678333333333
607,607,7685.633333333334
608,608,8535.516666666668
609,609,8811.343333333332
610,610,9977.154
611,611,10503.298333333334
612,612,10532.791666666666
613,613,9697.956
614,614,10763.883333333333
615,615,11055.815
616,616,11595.54
617,617,9429.111666666666
618,618,9761.396666666666
619,619,8151.531666666667
620,620,7993.674643641666
621,621,8986.948333333334
622,622,8686.826666666666
623,623,8197.548333333334
624,624,7172.28
625,625,6794.105
626,626,6787.761666666666
627,627,6927.688
628,628,6787.571666666667
629,629,7895.408333333333
630,630,8043.803333333333
631,631,8254.625
632,632,8838.548333333334
633,633,8995.506666666666
634,634,9326.173333333334
635,635,9075.136666666667
636,636,9710.730000000001
637,637,9345.689999999999
638,638,9101.483333333334
639,639,8727.651666666667
640,640,8340.703333333333
641,641,8223.288333333334
642,642,8015.580000000001
643,643,7445.238333333334
644,644,7130.541666666667
645,645,7491.433999999999
646,646,7699.886
647,647,7655.613333333334
648,648,7564.408333333333
649,649,6535.081666666666
650,650,6434.088000000001
651,651,6713.488
652,652,6733.901666666668
653,653,6037.008333333334
654,654,6105.295000000001
655,655,6381.390833333334
656,656,6613.685833333333
657,657,6569.496153846154
658,658,6723.8725
659,659,6233.595
660,660,6316.881666666667
661,661,7398.661666666667
662,662,7352.495384615385
663,663,8112.93
664,664,8025.2575
665,665,8143.1483333333335
666,666,7593.149166666667
667,667,6998.718333333333
668,668,6450.366923076922
669,669,6195.653333333335
670,670,6050.942500000001
671,671,6476.900000000001
672,672,6434.559166666667
673,673,6434.881666666667
674,674,6673.274166666666
675,675,7054.276428571429
676,676,7100.946666666667
677,677,7326.8525
678,678,6444.804166666668
679,679,6297.877692307693
680,680,6450.179230769231
681,681,6480.644166666668
682,682,6335.826666666665
683,683,6709.312500000001
684,684,6412.459166666667
685,685,6677.342500000002
686,686,6590.968333333334
687,687,6563.628333333333
688,688,6558.537499999999
689,689,6563.009166666667
690,690,6260.645833333335
691,691,6596.618333333333
692,692,6487.444166666667
693,693,6498.485833333333
694,694,6478.0825
695,695,6448.221666666667
696,696,6310.284166666667
697,697,6363.795833333334
698,698,6445.354166666667
699,699,6411.280833333333
700,700,6401.936666666667
701,701,5615.179999999999
702,702,5606.044166666667
703,703,4533.680833333334
704,704,4293.840833333333
705,705,3751.6683333333344
706,706,4106.871666666667
707,707,3967.5241666666666
708,708,3742.943333333334
709,709,3528.8033333333333
710,710,3462.0399999999995
711,711,3225.299166666667
712,712,3567.47
713,713,4015.6091666666666
714,714,4178.590833333333
715,715,3747.839166666666
716,716,3832.9216666666666
717,717,3867.138333333334
718,718,3868.4875000000006
719,719,4035.8549999999996
720,720,3656.7358333333327
721,721,3604.1175
722,722,3619.9641666666666
723,723,3620.1275
724,724,3579.896666666666
725,725,3589.2608333333337
726,726,3417.1675
727,727,3454.194615384615
728,728,3452.3283333333334
729,729,3403.9641666666666
730,730,3645.2766666666666
731,731,3623.0716666666667
732,732,3630.396666666666
733,733,3933.1433333333334
734,734,3968.6566666666663
735,735,3829.568333333334
736,736,3843.5833333333335
737,737,3827.6908333333326
738,738,3863.3333333333335
739,739,3919.5658333333336
740,740,3880.7675
741,741,3918.0866666666666
742,742,3998.4975
743,743,4026.6358333333333
744,744,3995.3233333333333
745,745,4011.3658333333333
746,746,4107.340833333334
747,747,4675.1125
748,748,4980.8983333333335
749,749,5214.276666666666
750,750,5111.7707692307695
751,751,5077.805
752,752,5214.574166666666
753,753,5302.9575
754,754,5527.801666666666
755,755,5280.616666666666
756,756,5277.883333333334
757,757,5364.991666666667
758,758,5718.229166666667
759,759,5851.670769230769
760,760,6833.350833333334
761,761,8005.250833333334
762,762,7265.963333333332
763,763,7926.704999999999
764,764,7688.525833333332
765,765,8114.932499999999
766,766,8646.195000000002
767,767,8543.03
768,768,7848.4158333333335
769,769,7920.945000000001
770,770,7815.135833333333
771,771,8163.663333333334
772,772,9096.285833333333
773,773,9147.005
