,ds,Dollars/Barrel
445,445,46.57
446,446,47.81
447,447,51.42
448,448,51.94
449,449,52.6
450,450,55.5
451,451,55.67
452,452,57.49
453,453,60.65
454,454,62.94
455,455,63.25
456,456,65.62
457,457,66.03
458,458,70.36
459,459,71.08
460,460,64.26
461,461,66.12
462,462,63.87
463,463,68.98
464,464,66.51
465,465,74.62
466,466,74.75
467,467,78.38
468,468,73.41
469,469,74.87
470,470,76.71
471,471,71.03
472,472,74.99
473,473,70.62
474,474,74.41
475,475,76.77
476,476,80.89
477,477,84.22
478,478,80.45
479,479,72.68
480,480,64.14
481,481,60.17
482,482,57.59
483,483,57.1
484,484,62.18
485,485,62.26
486,486,66.41
487,487,64.44
488,488,66.65
489,489,69.08
490,490,70.9
491,491,72.19
492,492,72.53
493,493,70.19
494,494,63.56
495,495,66.24
496,496,64.3
497,497,62.28
498,498,58.63
499,499,59.03
